post_link,likes_count,comments_count,shares_count
https://www.instagram.com/heny_mitsubishi_solo/reel/C5D8Z0xrV0S/,38,1,0
https://www.instagram.com/claraanandias/reel/C45XFtPpFYF/,75,7,0
https://www.instagram.com/mardani112/p/C4N3h4Hpo0X/,22,2,0
https://www.instagram.com/zardelwo/p/C4GPMaWPRGV/,6,0,0
https://www.instagram.com/ayuyulia407/reel/C4AUxxhLyhh/,158,113,0
https://www.instagram.com/tasyadinikafajar2/reel/C3twgznPdMq/,553,48,0
https://www.instagram.com/adms.mrf/reel/C3rtlnMJjAS/,117,2,0
https://www.instagram.com/devasarii/reel/C3Pjjwfpxah/,111,23,0
https://www.instagram.com/dahliasp/reel/C2xRwLQPNPH/,0,3,0
https://www.instagram.com/dahliasp/reel/C2d-r6XpKrU/,66,0,0
https://www.instagram.com/dwiyan_tamautau/p/C2Cd6vDLVSc/,0,0,0
https://www.instagram.com/masjajankuliner/reel/C1_4lfqPxJk/,0,3,0
https://www.instagram.com/ailsaluthfiana/reel/C1twSt2Pb0Q/,198,6,0
https://www.instagram.com/solodelicious/p/C1W9P8USUrr/,3323,38,0
https://www.instagram.com/solodelicious/reel/C1J7gC6yjfA/,587,8,0
https://www.instagram.com/adi_sukajajan/reel/C03TXQvPVHK/,12,2,0
https://www.instagram.com/solodelicious/reel/C0tbUcBSl6I/,364,8,0
https://www.instagram.com/jelajahsolo/reel/C0ge8wRJgGQ/,1131,18,0
https://www.instagram.com/kulinernyus/p/C0QQI3MvEpb/,7,0,0
https://www.instagram.com/tabligh.pdmsukoharjo/p/C0NOglES9WD/,25,1,0
https://www.instagram.com/solodelicious/p/Cz5VpdcSQ0C/,6589,66,0
https://www.instagram.com/hobikulinersolo/reel/CzgTgS8vAC0/,88,1,0
https://www.instagram.com/mhr.rania/p/CzaYSIGxQWf/,88,7,0
https://www.instagram.com/jajanankakilimasolo/reel/CzNlwv1PsnJ/,59,2,0
https://www.instagram.com/hobikulinersolo/reel/CzNle-SP99A/,17,0,0
https://www.instagram.com/solodelicious/p/CzI08PFSmuw/,3017,37,0
https://www.instagram.com/solodelicious/reel/Cy0qf5vydFc/,3143,85,0
https://www.instagram.com/kokogemoykuliner/reel/Cx23St7Pudq/,172,2,0
https://www.instagram.com/_cuphank/reel/CxmExsMvF8o/,7,2,0
https://www.instagram.com/rusdys/reel/CwSfexspIt4/,23,0,0
https://www.instagram.com/sarijudo/reel/CvyKSoVhZ7Y/,86,0,0
https://www.instagram.com/elnanda1402/p/Cut8u7lvMv8/,24,0,0
https://www.instagram.com/taentaenss/p/CuZy2LjJm4j/,20,0,0
https://www.instagram.com/dayatsimbaiaaa/p/CuYpNqqSmJj/,268,11,0
https://www.instagram.com/pepy_syarif/p/CuRu7anRnBW/,28,0,0
https://www.instagram.com/kokoatmadja/reel/CuJhxYuN8mj/,0,6,0
https://www.instagram.com/kulinersolojogja.id/reel/Ct-iygQB3eO/,21496,390,0
https://www.instagram.com/bukumenusolo.id/p/Ct08rLjPVbY/,252,7,0
https://www.instagram.com/solodelicious/p/Ctbg1IgSORC/,1065,26,0
https://www.instagram.com/solokenyang/reel/CtLwPOmpSSu/,436,8,0
https://www.instagram.com/solodelicious/reel/CsppbHTvEZ_/,626,16,0
https://www.instagram.com/solodelicious/p/CryFSM2yjLY/,881,11,0
https://www.instagram.com/solodelicious/reel/CrdVRlBNN9q/,1115,14,0
https://www.instagram.com/widyoagung/reel/CqMpgqBOD_V/,13,0,0
https://www.instagram.com/aris.mahardi/reel/CpIVZY7gjQE/,20,1,0
https://www.instagram.com/pusparisti/reel/CpBmYLpjcqp/,10,0,0
https://www.instagram.com/kopi_ngrayun/p/Co9MFWHrBWX/,6,0,0
https://www.instagram.com/saadah_umiyanti/reel/Cn6nFZQg1lH/,6,0,0
https://www.instagram.com/smaitnh/p/Cnt032Jv0BO/,305,0,0
https://www.instagram.com/hobikulinersolo/reel/Cm8VrDHJXng/,61,1,0
https://www.instagram.com/pusparisti/reel/Cm20ig2Dziw/,18,0,0
https://www.instagram.com/hobikulinersolo/p/CmsmWUYv1GN/,88,0,0
https://www.instagram.com/jajanankakilimasolo/p/CmsmJlivbF7/,15,0,0
https://www.instagram.com/kebunngarepomah/reel/CmXt9AcNDC5/,5,1,0
https://www.instagram.com/kebunngarepomah/reel/CmJbfWuLeth/,4,0,0
https://www.instagram.com/rona_marisca/p/Cl15GBPh2Qw/,14,0,0
https://www.instagram.com/sebelasrasa/p/ClGfMOpLyXM/,35,2,0
https://www.instagram.com/kebunngarepomah/reel/Cke_s3hve1x/,19,0,0
https://www.instagram.com/kebunngarepomah/reel/CkXNB3tP8_b/,19,0,0
